Season Number,Startup Name,Episode Number,Pitch Number,Season Start,Season End,Original Air Date,Episode Title,Industry,Business Description,Company Website,Started in,Male Presenters,Female Presenters,Pitchers Average Age,Pitchers City,Yearly Revenue,Monthly Sales,Gross Margin,Net Margin,EBITDA,Cash Burn,SKUs,Has Patents,Bootstrapped,Part of Match off,Original Ask Amount,Original Offered Equity,Valuation Requested,Received Offer,Accepted Offer,Total Deal Amount,Total Deal Equity,Total Deal Debt,Debt Interest,Deal Valuation,Number of Sharks in Deal,Royalty Percentage,Royalty Recouped Amount,Advisory Shares Equity,Namita Investment Amount,Namita Investment Equity,Namita Debt Amount,Vineeta Investment Amount,Vineeta Investment Equity,Vineeta Debt Amount,Anupam Investment Amount,Anupam Investment Equity,Anupam Debt Amount,Aman Investment Amount,Aman Investment Equity,Aman Debt Amount,Peyush Investment Amount,Peyush Investment Equity,Peyush Debt Amount,Ritesh Investment Amount,Ritesh Investment Equity,Ritesh Debt Amount,Amit Investment Amount,Amit Investment Equity,Amit Debt Amount,Guest Investment Amount,Guest Investment Equity,Guest Debt Amount,Invested Guest Name,All Guest Names,Namita Present,Vineeta Present,Anupam Present,Aman Present,Peyush Present,Ritesh Present,Amit Present,Guest Present
4,Seven,14,517,06-Jan-25,18-Mar-25,23-Jan-25,Tech Meets Creativity And Care,Technology/Software,Innovative payment wearables developed,https://seven.ooo/,2018,3,0,Middle,Mumbai,61,,,,,,,yes,funded,,75,1,7500,1,1,75,1.5,,,5000,3,,,1.5,,,,25,0.5,,,,,,,,25,0.5,,,,,,,,25,0.5,,Varun Dua,Varun Dua,,1,1,1,1,,,1
4,TheFutureAnimations,14,518,06-Jan-25,18-Mar-25,23-Jan-25,Tech Meets Creativity And Care,Technology/Software,Captivating two-dimensional animations,https://thefutureanimations.com/,2019,2,0,Young,Delhi,160,8,,40,,,,,,,50,2.5,2000,1,1,50,10,,,500,1,,,,,,,,,,,,,,,,50,10,,,,,,,,,,,,Varun Dua,,1,1,1,1,,,1
4,Aignosis,14,519,06-Jan-25,18-Mar-25,23-Jan-25,Tech Meets Creativity And Care,Technology/Software,"Early screening, diagnosis, and detection of autism",https://aignosis.in/,2024,2,0,Young,Jaipur,,,,,,,,,,,50,4,1250,1,1,100,8,,,1250,3,,,,,,,,,,,,,33.333,2.666,,33.333,2.666,,,,,,,,33.333,2.666,,Varun Dua,Varun Dua,,1,1,1,1,,,1
4,Rosha,15,520,06-Jan-25,18-Mar-25,24-Jan-25,The Age Of Portable Lighting And Vitamin Patches,Manufacturing,"Wireless, portable, and rechargeable lighting lamps",https://roshaindia.com/,2019,3,0,Middle,Delhi,800,,,15,,,,,yes,,60,1,6000,1,1,60,4,,,1500,2,1.5,90,,,,,,,,,,,30,2,,,,,30,2,,,,,,,,,,1,,1,1,1,1,,
4,MakeMyPayment,15,521,06-Jan-25,18-Mar-25,24-Jan-25,The Age Of Portable Lighting And Vitamin Patches,Technology/Software,Automated online fees payment reminder system,https://www.makepayment.in/,2024,3,1,Middle,Ujjain,,,,,,,,,,,30,3,1000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,1,1,,
4,PatchUp,15,522,06-Jan-25,18-Mar-25,24-Jan-25,The Age Of Portable Lighting And Vitamin Patches,Medical/Health,Patches that provide vitamins through skin absorption,https://patchuphealth.com/,2024,0,1,Middle,Delhi,,,90,,10,,,,,,50,1.75,2857.142857,1,1,50,2.27,,,2202.643172,1,,,,,,,,,,50,2.27,,,,,,,,,,,,,,,,,,,1,,1,1,1,1,,
4,tikitoro,16,523,06-Jan-25,18-Mar-25,27-Jan-25,"Big Ideas, Bigger Stakes",Beauty/Fashion,Personal care products for kids and teens,https://tikitoro.com/,2021,0,1,Middle,Chennai,850,,68,,,yes,,,yes,,25,0.5,5000,1,1,25,1,,,2500,1,0.5,25,,25,1,,,,,,,,,,,,,,,,,,,,,,,,Kunal Bahl,1,1,1,,1,,,1
4,Ashva,16,524,06-Jan-25,18-Mar-25,27-Jan-25,"Big Ideas, Bigger Stakes",Medical/Health,Musculoskeletal healthcare wearables,https://ashvaweartech.com/,2024,0,1,Young,Ghaziabad,70,,49,,,yes,,yes,funded,,50,1.25,4000,1,1,50,4,,,1250,1,,,,,,,50,4,,,,,,,,,,,,,,,,,,,,,Kunal Bahl,1,1,1,,1,,,1
4,AseemShakti,16,525,06-Jan-25,18-Mar-25,27-Jan-25,"Big Ideas, Bigger Stakes",Beauty/Fashion,Ready-to-wear pocket saree,https://www.aseemshakti.com/,2018,0,1,Middle,Mumbai,130,,,20,,,,,,,50,2.5,2000,1,1,50,10,,,500,1,,,,,,,,,,50,10,,,,,,,,,,,,,,,,,,Kunal Bahl,1,1,1,,1,,,1
4,RBDMachineTools,17,526,06-Jan-25,18-Mar-25,28-Jan-25,Reaping Success And Painting The Future,Agriculture,India's first power reaper with a seat,https://www.rbdmachine.com/,2020,2,0,Middle,Jaipur,1437,267,,8,,,,,,,100,1,10000,1,1,50,1,50,9,5000,2,,,,25,0.5,25,,,,,,,,,,,,,25,0.5,25,,,,,,,,Kunal Bahl,1,,1,1,,1,,1
4,MidasPaint,17,527,06-Jan-25,18-Mar-25,28-Jan-25,Reaping Success And Painting The Future,Green/CleanTech,Eco-friendly paints,https://www.midaspaint.com/,2021,4,0,Middle,Pune,,,,,,,,yes,,,300,5,6000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kunal Bahl,1,,1,1,,1,,1
4,GoodlandPickleball,17,528,06-Jan-25,18-Mar-25,28-Jan-25,Reaping Success And Painting The Future,Fitness/Sports/Outdoors,"Pickleball premium paddles, and courts",https://goodlandpickleball.com/,2024,2,0,Middle,Mumbai,270,,,,50,,,,,,80,4,2000,1,1,80,6,,,1333.333333,1,0.5,80,,,,,,,,,,,80,6,,,,,,,,,,,,,,,Kunal Bahl,1,,1,1,,1,,1
4,TheNaturikCo,18,529,06-Jan-25,18-Mar-25,29-Jan-25,From Health To Flavours,Food and Beverage,High protein breakfast options,https://thenaturikco.com/,2022,1,1,Middle,Panchkula,582,,69,,,yes,,,funded,,50,2,2500,1,1,400,22.22,,,1800.180018,5,,,,,,,80,4.444,,80,4.444,,80,4.444,,80,4.444,,,,,,,,80,4.444,,Kunal Bahl,Kunal Bahl,,1,1,1,1,,,1
